Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Backrest type (product.metafields.shopify.backrest-type),Color (product.metafields.shopify.color-pattern),Seat type (product.metafields.shopify.seat-type),Shape (product.metafields.shopify.shape),Upholstery material (product.metafields.shopify.upholstery-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Pakistan,Price / Pakistan,Compare At Price / Pakistan,Status
butler,Butler,"<p>Butler Side Table is an effortlessly stylish piece that features a remarkable gold-plated brass structure combined with a darker base for a stronger visual image. A simple yet beautiful design that, above all, provides exceptional charm and individuality to prestigious interiors. A contemporary piece that would look stupendous on the side of a cushy bed or an entry hall, even complementing a hotel’s lounging area.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-030</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/table_lh_34-1.jpg?v=1736947608,1,"",false,,,,,,,,,kg,,,true,,,active
butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh34-3.jpg?v=1736947608,2,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,Mezcla Coffee Table,"<p>The Mezcla table concept is defined by its unique blend of exclusive materials, capturing the essence of bringing people and diverse design elements together. It represents a series of tables where materials, shapes, and colors seamlessly combine, creating a harmonious meeting point of style and functionality.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-029</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables > Coffee Tables,Lounge Coffee Table,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-2.jpg?v=1736951290,1,"",false,,,,,,,,,kg,,,true,,,active
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-4.jpg?v=1736951290,2,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-1.jpg?v=1736951290,3,"",,,,,,,,,,,,,,,,
mezcla-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh35-3.jpg?v=1736951286,4,"",,,,,,,,,,,,,,,,
bloom,Bloom cabinet,"<p>This sleek bloom cabinet features a bold combination of glossy black and rich brown finishes, with fluted detailing on the front, blending modern elegance and functionality to complement sophisticated interiors. </p>
<ul>
<li><strong>SIZE: IN:<span> W 60"" x D 18"" x H 30""</span><span></span></strong></li>
<li><strong>PRODUCT CODE: FS-023</strong></li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Kitchen & Dining Room Tables > Console Tables,Beds room,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,295000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-1.jpg?v=1736587545,1,"",false,,,,,,,,,kg,,,true,,,active
bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-2.jpg?v=1736587545,2,"",,,,,,,,,,,,,,,,
bloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Storagecabinet-24-3.jpg?v=1736587545,3,"",,,,,,,,,,,,,,,,
butler-side-table,Butler Side Table,"<p>Crafted to meet the highest of standards, the lustrous nature of this fashionable adornment is by its geometrical form. Butler Side Table is an effortlessly stylish piece that features a remarkable gold-plated brass structure combined with a wood pedestal base for a stronger visual image. </p>
<ul>
<li><strong>SIZE: IN: W 18"" x D 18"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-029</strong></li>
<li><strong>MATERIAL: WOOD, BRASS</strong></li>
</ul>
<p> </p>",Lusso Homey Store,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,kg,,,true,,,active
bamboo-coffee-table,Bamboo Coffee Table,"<p>This elegant side table features a mesmerizing wooden hand-painted tabletop with a natural swirl pattern, reminiscent of tree rings, showcasing its organic charm and timeless appeal. The surface is finished in a high-gloss lacquer, Its sleek, tapered legs are crafted with a polished black finish, accented with gold-toned tips for a touch of modern luxury. The minimalist design ensures versatility, making it a perfect fit for both contemporary and classic interiors.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-028</strong></li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>
<p> </p>",Lusso Homey Store,Furniture > Tables > Accent Tables > Coffee Tables,Beds room,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,95000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-40-1.jpg?v=1736516137,1,"",false,,,,,,,,,kg,,,true,,,active
bamboo-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-40-2.jpg?v=1736516137,2,"",,,,,,,,,,,,,,,,
bamboo-coffee-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-40-3.jpg?v=1736516137,3,"",,,,,,,,,,,,,,,,
orbit-luxe-side-table,Orbit Luxe Coffee Table,"<p>This elegant round coffee table features a mesmerizing wooden tabletop with a natural swirl pattern, reminiscent of tree rings, showcasing its organic charm and timeless appeal. The surface is finished in high-gloss lacquer, highlighting the rich brown tones and enhancing the intricate wood grain. Its sleek, tapered legs are crafted with a polished black finish, accented with gold-toned tips for a touch of modern luxury. The minimalist design ensures versatility, making it a perfect fit for both contemporary and classic interiors. Ideal for use as a statement piece in living rooms, bedrooms, or lounges, this table blends functionality with artistry to elevate any space</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li><strong>PRODUCT CODE: FTS-028</strong></li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Beds room,Furniture,true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,75000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-39-1.jpg?v=1736515222,1,"",false,,,,,,,,,kg,,,true,,,active
orbit-luxe-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-39-2.jpg?v=1736515222,2,"",,,,,,,,,,,,,,,,
orbit-luxe-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-39-3.jpg?v=1736515222,3,"",,,,,,,,,,,,,,,,
hera-side-table,Hera Side Table,"<p>Our Hera Side Table commands attention with its sophisticated form. This sculptural table is lightweight and easy to move, making it a versatile piece to rest a drink, book, or potted plant.</p>
<ul>
<li><strong>SIZE: IN: W 17"" x D 17"" x H 22""</strong></li>
<li>
<strong>PRODUCT CODE: FTS-027</strong><strong></strong><strong></strong>
</li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Beds room,Furniture,true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,65000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Beds_collection_Night_stands_-_38-1.jpg?v=1736512632,1,"",false,,,,,,,,,kg,,,true,,,active
hera-side-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-38-2.jpg?v=1736512632,2,"",,,,,,,,,,,,,,,,
algerone-dining-chair,Algerone Dining Chair,"<p>The Algerone Dining Chair was designed as a neutral element for any sophisticated dining room area. Greyback veneer wood texture dresses its structure, while golden wood details introduce a sense of modernity and timelessness.</p>
<ul>
<li><strong>SIZE: IN: W21"" x D21"" x H37""</strong></li>
<li><strong>PRODUCT CODE: FSD-015</strong></li>
<li><strong>MATERIAL: WOOD, VELVET</strong></li>
</ul>",Lusso Homey Store,Furniture > Chairs > Kitchen & Dining Room Chairs,Dining Chair,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,112000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-41-1.jpg?v=1736351317,1,"",false,,,upholstered,gray; black,upholstered,,suede,,kg,,,true,,,active
algerone-dining-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-41-2.jpg?v=1736351317,2,"",,,,,,,,,,,,,,,,
algerone-dining-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-41-3.jpg?v=1736351317,3,"",,,,,,,,,,,,,,,,
plisse-night-stand,Plisse Night Stand,"<p>Night-stand with wooden structure and 2 drawers in shiny Ebony wood (open space shiny lacquered) or a shiny lacquered finish. Detail on the top in the marbleize finish</p>
<ul>
<li><strong>SIZE: IN: W 27' x D 17"" x H 22""</strong></li>
<li>
<strong>PRODUCT CODE: FTS-026</strong><strong></strong><strong></strong>
</li>
<li><strong>MATERIAL: BOARD, WOOD</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Nightstands,Beds room,Beds,true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,80000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-37-1.jpg?v=1736349869,1,"",false,,,,,,,,,kg,,,true,,,active
plisse-night-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-37-2.jpg?v=1736349869,2,"",,,,,,,,,,,,,,,,
plisse-night-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-38.jpg?v=1736349869,3,"",,,,,,,,,,,,,,,,
charla,Charla,"<p>The Charla Nightstand, made with high-end materials, completes any bedroom decor with its organic shape and boundless elegance. It serves as a modern nightstand, perfect for creating a luxurious bedroom design.</p>
<ul>
<li><strong>SIZE: IN: W 22' x D 18"" x H 23""</strong></li>
<li>
<strong>PRODUCT CODE: FTS-025</strong><strong></strong><strong></strong>
</li>
<li><strong>MATERIAL: BOARD, WOOD</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Nightstands,Beds room,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,95000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-36-1.jpg?v=1736348412,1,"",false,,,,,,,,,kg,,,true,,,active
charla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-36-2.jpg?v=1736348412,2,"",,,,,,,,,,,,,,,,
charla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Bedscollection_Nightstands-36-3.jpg?v=1736348412,3,"",,,,,,,,,,,,,,,,
axle-console,Axle Console,"<p>The Axle Console Table makes a bold statement with its clean lines and wood construction in a Carrara black marbleized look finish. With its narrow depth, it is ideal for small spaces.</p>
<ul>
<li><strong>SIZE: IN: W 47"" x D 11"" x H 30""</strong></li>
<li><strong>PRODUCT CODE:<span> </span><span>FTN-015</span></strong></li>
<li><strong>MATERIAL: WOOD</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Kitchen & Dining Room Tables > Console Tables,Beds room,"Beds, Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,125000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Consoles-17-1_f74d967c-2e26-4774-8702-3cb093abcc0f.jpg?v=1736347377,1,"",false,,,,,,,,,kg,,,true,,,active
axle-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Consoles-17-2_76870543-2035-4844-8d91-9b6368e021dd.jpg?v=1736347377,2,"",,,,,,,,,,,,,,,,
axle-console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Consoles-17-3_3c23c926-ce94-4e95-a5e2-7dc3a7c14f76.jpg?v=1736347377,3,"",,,,,,,,,,,,,,,,
nall-chair,Nall Chair,"<p>Nall Chair is perfect for minimalist, Japanese, Japandi, and modern contemporary themed spaces.</p>
<ul>
<li><strong>SIZE: IN: W<span> </span><span>28""</span><span> </span>x D<span> </span><span>27""</span><span> </span>x H<span> </span><span>27""</span></strong></li>
<li><strong>PRODUCT CODE: FTN-017</strong></li>
<li><strong>MATERIAL: WOOD, FABRIC</strong></li>
</ul>",Lusso Homey Store,Furniture > Chairs > Slipper Chairs,Lounge Chairs,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,68000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-39-1.jpg?v=1736343893,1,"",false,,,upholstered,white,upholstered,,linen,,kg,,,true,,,active
nall-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-39-2.jpg?v=1736343893,2,"",,,,,,,,,,,,,,,,
lotus-chair,Lotus Chair,"<p>In the heart of home decor innovation, the Lotus Chair emerges as a stunning blend of comfort and elegance. This single-seater sofa chair doesn’t just serve as a piece of furniture, it acts as a beacon of style, poised to elevate the ambiance of any Indian home. Crafted with premium foam and resting on a golden base, the Lotus Chair merges durability with a dash of luxury.</p>
<ul>
<li><strong>SIZE: IN: W<span> </span><span>31""</span><span> </span>x D<span> </span><span>29""</span><span> </span>x H<span> </span><span>29""</span></strong></li>
<li><strong>PRODUCT CODE: FTN-016</strong></li>
<li><strong>MATERIAL: WOOD, FABRIC</strong></li>
</ul>",Lusso Homey Store,"Furniture > Chairs > Armchairs, Recliners & Sleeper Chairs > Armchairs",Lounge Chairs,"chair, Furniture",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,115000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-38-1.jpg?v=1736337108,1,"",false,,,upholstered-padded,gray,upholstered-padded,,polyester,,kg,,,true,,,active
lotus-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-38-2.jpg?v=1736337108,2,"",,,,,,,,,,,,,,,,
lotus-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-38-3.jpg?v=1736337108,3,"",,,,,,,,,,,,,,,,
russel,Russel Armchair,"<p>Russel armchair is an accent chair both stylish for a living room or a lounge bar chair, with futuristic lines that make this an irresistible piece. Its crescent armrests lead to an open back, all layered over a comfy foam frame and upholstered in velvet. The base is round, produced in golden brass, providing comfort but also mid-century style elements.</p>
<ul>
<li><strong>SIZE: IN: W<span> </span><span>31""</span><span> </span>x D<span> </span><span>29""</span><span> </span>x H<span> </span><span>29""</span></strong></li>
<li><strong>PRODUCT CODE: FTN-015</strong></li>
<li><strong>MATERIAL: WOOD, FABRIC</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Lounge Chairs,"chair, Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,160000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-36-1.jpg?v=1736335557,1,"",false,,,,,,,,,kg,,,true,,,active
russel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-36-2.jpg?v=1736335557,2,"",,,,,,,,,,,,,,,,
russel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-36-3.jpg?v=1736335557,3,"",,,,,,,,,,,,,,,,
luna,Luna,"<p>Presenting the Luna Accent Chair a sleek and modern piece crafted to enhance any living space. With its unique design, sturdy frame, and plush rounded cushions, it offers unmatched comfort and style. Combining high-quality materials with a contemporary aesthetic, this chair is the perfect blend of functionality and luxury for any room.</p>
<ul>
<li><strong>SIZE: IN: W<span> </span><span>24""</span><span> </span>x D<span> </span><span>32""</span><span> </span>x H<span> </span><span>24""</span></strong></li>
<li><strong>PRODUCT CODE: FTN-014</strong></li>
<li><strong>MATERIAL: WOOD, FABRIC</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Lounge Chairs,"chair, Furniture, Lounge Chairs, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,165000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-37-2.jpg?v=1736331995,1,"",false,,,,,,,,,kg,,,true,,,active
luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-37-1.jpg?v=1736331995,2,"",,,,,,,,,,,,,,,,
luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairs_collection_-_37-3.jpg?v=1736332019,3,"",,,,,,,,,,,,,,,,
luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairs_collection_-_37-4.jpg?v=1736332058,4,"",,,,,,,,,,,,,,,,
caracole-cocktail-table,Caracole Cocktail Table,"<p>The circular Anonymous Cocktail table, with its Urban Brass and Ebony Macassar woodgrain, offers a modern centerpiece. Its reflective black glass surface and brass rim create a luxurious look. </p>
<ul data-mce-fragment=""1"">
<li>
<strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">36</span><span data-mce-fragment=""1""> </span>x D 36 x H 17</strong><strong data-mce-fragment=""1""></strong>
</li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTC-021</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: WOOD, GLASS</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Lounge Coffee Table,"Furniture, Lusso Homey, tables",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,195000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh29_772ff249-be48-45ce-8451-d8654c564929.jpg?v=1731058187,1,"",false,,,,,,,,,kg,,,true,,,active
a,Conroy Leather Office Chair,"<p>The Conroy Leather Office Chair exudes sophistication with its deep maroon tufted leather upholstery and elegant brass accents. Designed for comfort and style, it features a sturdy base with smooth-rolling wheels for mobility</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">SIZE: IN: W<span> </span><span>24</span><strong><span> </span>x D<span> </span><span>32</span><span> </span>x H<span> </span><span>24</span></strong></strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTN-013</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: BRASS, LEATHER</strong></li>
</ul>",Lusso Homey Store,Uncategorized,office chair,"chair, Furniture, Lusso Homey, office chair",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,259000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-35_0fec90e3-9de1-47c0-9924-7257089e69e1.jpg?v=1730701205,1,"",false,,,,,,,,,kg,,,true,,,active
ethr,Ethan,"<p>Elevate your living room with our Luxury Coffee Table called Ethan, a modern and sophisticated centerpiece designed to make a statement. Perfect for living rooms and apartments, this versatile table combines a sleek matt black painted metal top with a durable marble base, offering both style and functionality. </p>
<ul data-mce-fragment=""1"">
<li>
<strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">16</span><span data-mce-fragment=""1""> </span>x D 16 x H 24</strong><strong data-mce-fragment=""1""></strong>
</li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTC-021</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: METAL, MARBLE</strong></li>
</ul>",Lusso Homey Store,Uncategorized,Lounge Coffee Table,"Furniture, Lusso Homey, tables",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,38000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh30_be77ce26-8393-4ab7-b298-d911f3ded420.jpg?v=1730662462,1,"",false,,,,,,,,,kg,,,true,,,active
s,s,"",Lusso Homey Store,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh29.jpg?v=1730662230,1,"",false,,,,,,,,,kg,,,true,,,active
sda,sda,"",Lusso Homey Store,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Chairscollection-35.jpg?v=1730662069,1,"",false,,,,,,,,,kg,,,true,,,active
conroy,Conroy,"",Lusso Homey Store,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",,,,false,,,,,,,,,kg,,,true,,,active
giove,Giove,"<p>Elevate your living space with our Luxury Coffee Table, a modern and sophisticated centerpiece designed to make a statement. Perfect for living rooms and apartments, this versatile table combines a sleek marble top with a durable brass base, offering both style and functionality. Ideal for those seeking elegance, it brings a luxurious touch to any setting.</p>
<ul data-mce-fragment=""1"">
<li>
<strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">42</span><span data-mce-fragment=""1""> </span>x D 42 x H 15</strong><strong data-mce-fragment=""1""></strong>
</li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTC-020</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: BRASS, WOOD, MARBLE</strong></li>
</ul>",Lusso Homey Store,Home & Garden > Kitchen & Dining > Food Storage > Food Container Covers,Lounge Coffee Table,"Furniture, Lusso Homey",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,420000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh28.jpg?v=1730557248,1,"",false,,,,,,,,,kg,,,true,,,active
bell-nesting-coffee-table,Bell Nesting Coffee Table,"<p><span>At a glance, our Bell Nesting Coffee Table exudes sophistication and elegance. Our collection includes stunning glass coffee tables, perfect for adding a touch of elegance to any room. Choose a modern coffee table that complements your decor and enhances your home’s aesthetic.</span></p>
<ul data-mce-fragment=""1"">
<li>
<strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">36</span><span data-mce-fragment=""1""> </span>x D 36 x H 18</strong><strong data-mce-fragment=""1""></strong>
</li>
<li><strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">36</span><span data-mce-fragment=""1""> </span>x D 36 x H 16</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTC-019</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: BRASS, GLASS, WOOD, MARBLE</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables > Coffee Tables,Lounge Coffee Table,"Beds, chair, Furniture, Lusso Homey, Sofas, tables",true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,430000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh27.jpg?v=1729680478,1,"",false,,,,,,,,,kg,,,true,,,active
vogue-cocktail-side-table,Vogue Cocktail  Side Table,"<p><span>At a glance, our Vogue Cocktail Table exudes sophistication and elegance. A deeper look reveals a luxurious shagreen texture with hints of cream and warm grey.</span><strong data-mce-fragment=""1""></strong></p>
<ul data-mce-fragment=""1"">
<li>
<strong data-mce-fragment=""1"">SIZE: IN:<span data-mce-fragment=""1""><span> </span>W<span> </span></span><span data-mce-fragment=""1"">20</span><span data-mce-fragment=""1""> </span>x D 20 x H 26</strong><strong data-mce-fragment=""1""></strong>
</li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">PRODUCT CODE: FTC-018</strong></li>
<li data-mce-fragment=""1""><strong data-mce-fragment=""1"">MATERIAL: BRAAS, MARBLE</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Accent Tables > Coffee Tables,Side Table,tables,true,Title,Default Title,,,,,,,,"",0.0,shopify,20,deny,manual,100000.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/tablelh26.jpg?v=1729679272,1,"",false,,,,,,,,,kg,,,true,,,active
algerone,Algerone,"<p>Algerone is an opulent round dining table inspired by architectural elements. It was designed to remind us of only marbleized top's unique strength and class. The Carrara marbleized circular top is supported by a sleek base adorned with black leather and polished brass detailing. A design that will redefine the way you perceive dining tables.</p>
<ul>
<li><strong>SIZE: IN: W 70 x D 70 x H 29</strong></li>
<li><strong>PRODUCT CODE: FTD-014</strong></li>
<li><strong>MATERIAL: WOOD AND MDF</strong></li>
</ul>",Lusso Homey Store,Furniture > Tables > Kitchen & Dining Room Tables,Dining Table,"Algerone, Dining Table, Dining Tables, Furniture, Lusso Homey",false,Title,Default Title,,,,,,,,"",0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0780/3145/4491/files/Diningtablecollection-15.jpg?v=1727686946,1,"",false,,,,,,,,,kg,,,true,,,draft
